Project Name,City,Status,Category,Source Image
P960 Triton Operational Facilities - Al Dhafra Air Base,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample1.png
Polymer Plant & Ancillary Facilities - Khalifa Economic Zones Abu Dhabi KEZAD,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample1.png
Farm at Plot No. 53 For Ms. Houria Ohassou - Abu Dhabi,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample1.png
Aluminium Recycling Facility - Al Taweelah,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample1.png
Lithium Processing Facility - Khalifa Industrial Area,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample1.png
Monolith for Wood - ICAD III,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample1.png
Extension of Target Steel Industries at Plot No. 51NR2? - ICAD Ill,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample1.png
2.5MW Solar Plant for Al Masaood Energy - ICAD II,Abu Dhabi,Under Construction,Plant,sample1.png
Paradise Abu Dhabi Biopharmaceutical Plant,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample1.png
EWEC/Masdar - 5.2GW (DC) Solar Photovoltaic (PV) Plant & 19 GWh Battery Energy Storage System,Abu Dhabi,Under Construction,Plant,sample1.png
AJ Steel Pines - 3MWp Rooftop Solar Plant - Mussafah,Abu Dhabi,Under Construction,Plant,sample1.png
Emirates Calcium Carbonated Factory - Al Mamourah,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample1.png
Development of New Port & Logistics Facility - TAZIZ Derivatives Park Complex,Abu Dhabi,Under Construction,Marine,sample2.png
High-Tech Greenhouse Facility - AgTech Park,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample2.png
Treated Sewage Effluent Tank - Al Raha Garden,Abu Dhabi,Under Construction,Plant,sample2.png
Bakery & Sweets Manufacturing Facility - ICAD 3,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample2.png
Aseel for Energy L.L.C-O.P.C - Al Ma'mourah,Abu Dhabi,Under Construction,Plant,sample2.png
Rehabilitation of Pumping Station - Al Dhafra Region Phase 1 - Madinat Zayed,Abu Dhabi,Under Construction,Plant,sample2.png
Pumping Stations - Lot B Unit V Water Transmission Scheme (Tender No. N-17766),Abu Dhabi,Under Construction,Plant,sample2.png
Blue Gulf Group at Plot No. 339HR14 - Abu Dhabi Ports,Abu Dhabi,Under Construction,Marine,sample2.png
ADNOC - Water Treatment & Transmission Infrastructure Project,Abu Dhabi,Under Construction,Plant,sample2.png
Khalifa Port & Industsial Zone (KPIZ),Abu Dhabi,Under Construction,Marine,sample2.png
Steel Recycling and Production Facility - Khalifa Economic Zones Abu Dhabi (Kezad),Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample2.png
Automech Steel at Plot No. 69HR13 - Abu Dhabi Industrial City,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample3.png
Factory for Al Warraq Graphic Design - Musaffah,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample3.png
Slaughterhouse - Al Mirfa,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample3.png
KEZAD/Abundance - Solar Panel Facility - KEZAD Al Mamourah Area A,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample3.png
Falcon Polylactic Acid (PLA) Production Facility - KEZAD,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample3.png
EWEC - Mirfa 2 (M2) Reverse Osmosis (RQ) Independent Water Project (IWP),Abu Dhabi,Under Construction,Plant,sample3.png
OCTG-CRA Tubular Solutions Manufacturing Plant,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample3.png
Effluent Treatment Plant (ETP) for Polyolefins Manufacturer,Abu Dhabi,Under Construction,Plant,sample3.png
Blue Gulf Shipyard at Plot No. 40CR13A2 - ICAD 2,Abu Dhabi,Under Construction,Marine,sample3.png
12 Factories Development - Khalifa Economic Zones Abu Dhabi (KEZAD),Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample3.png
Storm Water Assets (Contract No. SW10) - Zayed Port,Abu Dhabi,Under Construction,Plant,sample3.png
Fabrication Factory - Khalifa Economic Zones Abu Dhabi (Kezad) Abu Dhabi Under Construction United Arab Emirates Manufacturina / Processina Facilitv,Abu Dhabi,Under Construction,Manufacturing / Processing Facility,sample3.png
